-255,-3.7495,-3.9898,-3.6302,-3.8951
-250,-3.6366,-3.8621,-3.535,-3.7843
-245,-3.6302,-3.8309,-3.5138,-3.7187
-240,-3.6197,-3.8257,-3.4933,-3.73
-235,-3.6055,-3.8059,-3.5044,-3.718
-230,-3.5765,-3.7859,-3.4661,-3.6971
-225,-3.5623,-3.7728,-3.4239,-3.6838
-220,-3.5423,-3.7487,-3.4014,-3.6753
-215,-3.5247,-3.7276,-3.4009,-3.6615
-210,-3.5051,-3.7097,-3.3512,-3.6193
-205,-3.4796,-3.693,-3.2996,-3.6247
-200,-3.4631,-3.6707,-3.3245,-3.5894
-195,-3.4377,-3.6399,-3.257,-3.5532
-190,-3.4143,-3.6098,-3.2848,-3.5404
-185,-3.3891,-3.5849,-3.1657,-3.5142
-180,-3.3673,-3.5483,-3.1723,-3.4854
-175,-3.3404,-3.5124,-3.1213,-3.4375
-170,-3.3156,-3.4073,-3.1287,-3.3999
-165,-3.2806,-3.4397,-3.0602,-3.3789
-160,-3.2484,-3.4081,-3.0933,-3.3021
-155,-3.2095,-3.35,-3.0869,-3.2786
-150,-3.1698,-3.3038,-3.0029,-3.2191
-145,-3.1196,-3.2544,-2.9579,-3.1978
-140,-3.0847,-3.2075,-2.9314,-3.1477
-135,-3.0158,-3.1352,-2.7451,-3.1063
-130,-2.9646,-3.0797,-2.7525,-3.0878
-125,-2.9183,-3.0213,-2.7473,-3.0197
-120,-2.8089,-2.9564,-2.6336,-2.9401
-115,-2.7758,-2.8769,-2.5335,-2.9139
-110,-2.6952,-2.7961,-2.4637,-2.8222
-105,-2.6128,-2.6993,-2.4057,-2.7078
-100,-2.5244,-2.6092,-2.3263,-2.638
-95,-2.4407,-2.529,-2.2987,-2.5524
-90,-2.3073,-2.3711,-2.0227,-2.4678
-85,-2.2137,-2.2426,-1.9742,-2.3328
-80,-2.0916,-2.1081,-1.9128,-2.1983
-75,-1.9382,-1.9617,-1.7426,-2.0664
-70,-1.8159,-1.812,-1.6538,-1.8873
70,1.9358,1.9522,1.8469,1.9393
75,1.9964,1.9991,1.867,1.982
80,2.143,2.1347,2.0232,2.0979
85,2.2838,2.2656,2.1724,2.2419
90,2.4164,2.3904,2.337,2.3594
95,2.5253,2.4901,2.4174,2.4578
100,2.6208,2.6033,2.5203,2.5422
105,2.714,2.6709,2.6344,2.5839
110,2.7874,2.7288,2.7516,2.6122
115,2.8815,2.7682,2.8211,2.7099
120,2.9458,2.8571,2.9182,2.7254
125,3.0196,2.9136,2.9977,2.8251
130,3.0688,2.9698,3.041,2.8546
135,3.1262,2.9912,3.0764,2.9235
140,3.175,3.0217,3.1729,2.9445
145,3.2244,3.123,3.2381,2.987
150,3.2709,3.1571,3.326,3.0303
155,3.317,3.214,3.3545,3.0674
160,3.3592,3.2346,3.4191,3.0985
165,3.393,3.2667,3.4539,3.1167
170,3.4207,3.0015,3.4587,3.1516
175,3.4505,3.3267,3.4877,3.206
180,3.4822,3.3669,3.543,3.2166
185,3.5078,3.3948,3.5879,3.2309
190,3.533,3.4167,3.5772,3.2303
195,3.5586,3.4498,3.6337,3.2483
200,3.5821,3.4697,3.6366,3.2867
205,3.606,3.4954,3.6775,3.3282
210,3.6222,3.5035,3.7193,3.2859
215,3.6315,3.5409,3.763,3.3494
220,3.6505,3.5489,3.7625,3.3323
225,3.6709,3.5626,3.8028,3.3699
230,3.6979,3.5689,3.8316,3.3391
235,3.7202,3.5891,3.8729,3.3994
240,3.7307,3.6122,3.8946,3.4004
245,3.7348,3.6145,3.893,3.4098
250,3.7627,3.6334,3.9229,3.485
255,3.8729,3.7426,4.0598,3.5789
